"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score.x","Agency.x","WRIA.Number.x","Basin.x","Subbasin.x","Stream.or.River","Project.x","Visit.Date","Year","Lab.Name","Site.Code.x","Latitude.x","Longitude.x","Row","Site.ID","WRIA.Number.y","WRIA","Basin.y","Subbasin.y","Stream","Agency.y","Project.y","Site.Code.y","Latitude.y","Longitude.y","Event.Date","Date.Released","Taxonomic.Resolution","Total.SqFt","Taxa.Richness.Quantity","Ephemeroptera.Richness.Quantity","Plecoptera.Richness.Quantity","Trichoptera.Richness.Quantity","EPT.Richness.Quantity","Clinger.Richness.Quantity","Long-Lived.Richness.Quantity","Intolerant.Richness.Quantity","Percent.Dominant.Quantity","Predator.Percent.Quantity","Tolerant.Percent.Quantity","Number.of.Organisms","Overall.Score.y","Taxa.Richness.Score","Ephemeroptera.Richness.Score","Plecoptera.Richness.Score","Trichoptera.Richness.Score","Clinger.Richness.Score","Long-Lived.Richness.Score","Intolerant.Richness.Score","Percent.Dominant.Score","Predator.Percent.Score","Tolerant.Percent.Score","diff"
"1",218,24,2,5,8,19,8,4,308,21,48,500,4.2,9.6,61.6,3.80952380952381,1.42857142857143,5.71428571428571,8.75,8.23529411764706,7.5,5.71428571428571,5.36842105263158,4.3,9.02325581395349,59.8436376508988,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2006-08-31",2006,"ABR, Inc.","09SOO1130",47.31817,-122.135959,18,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,38960,45587,"Coarse",3,24,2,5,8,15,19,8,4,0.616,0.096,0.042,500,59.8,3.8,1.4,5.7,8.8,8.2,7.5,5.7,5.4,4.3,9,0.0436376508987948
"2",590,34,6,5,6,24,10,8,267,98,35,500,19.6,7,53.4,8.57142857142857,7.14285714285714,5.71428571428571,6.25,10,10,10,7.52631578947368,3,5.44186046511628,73.6467476831614,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2008-08-18",2008,"ABR, Inc.","09SOO1130",47.31817,-122.135959,16,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,39678,45587,"Coarse",3,34,6,5,6,17,24,10,8,0.534,0.07,0.196,500,73.6,8.6,7.1,5.7,6.2,10,10,10,7.5,3,5.4,0.0467476831613993
"3",928,24,6,4,5,17,6,4,363,22,18,500,4.4,3.6,72.6,3.80952380952381,7.14285714285714,4.28571428571429,5,7.05882352941176,5,5.71428571428571,2.47368421052632,1.3,8.97674418604651,50.7616328783655,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2005-09-07",2005,"ABR, Inc.","09SOO1130",47.31817,-122.135959,19,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,38602,45587,"Coarse",3,24,6,4,5,15,17,6,4,0.726,0.036,0.044,500,50.8,3.8,7.1,4.3,5,7.1,5,5.7,2.5,1.3,9,-0.0383671216344581
"4",1935,34,8,6,8,23,7,6,251,20,31,500,4,6.2,50.2,8.57142857142857,10,7.14285714285714,8.75,10,6.25,8.57142857142857,8.36842105263158,2.6,9.06976744186047,79.3239027802063,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2003-08-11",2003,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,20,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,37844,45587,"Coarse",3,34,8,6,8,22,23,7,6,0.502,0.062,0.04,500,79.3,8.6,10,7.1,8.8,10,6.2,8.6,8.4,2.6,9.1,0.0239027802063134
"5",2200,29,4,6,5,21,9,4,247,70,56,500,14,11.2,49.4,6.19047619047619,4.28571428571429,7.14285714285714,5,9.41176470588235,8.75,5.71428571428571,8.57894736842105,5.1,6.74418604651163,66.9182314541484,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2007-08-15",2007,"ABR, Inc.","09SOO1130",47.31817,-122.135959,17,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,39309,45587,"Coarse",3,29,4,6,5,15,21,9,4,0.494,0.112,0.14,500,66.9,6.2,4.3,7.1,5,9.4,8.8,5.7,8.6,5.1,6.7,0.0182314541483635
"6",2331,27,5,6,7,20,7,5,319,4,29,500,0.8,5.8,63.8,5.23809523809524,5.71428571428571,7.14285714285714,7.5,8.82352941176471,6.25,7.14285714285714,4.78947368421052,2.4,9.81395348837209,64.8150518224426,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2002-09-30",2002,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,21,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,37529,45587,"Coarse",3,27,5,6,7,18,20,7,5,0.638,0.058,0.008,500,64.8,5.2,5.7,7.1,7.5,8.8,6.2,7.1,4.8,2.4,9.8,0.0150518224425724
"7",2428,29,4,7,6,19,8,6,222,42,95,500,8.4,19,44.4,6.19047619047619,4.28571428571429,8.57142857142857,6.25,8.23529411764706,7.5,8.57142857142857,9.89473684210526,9,8.04651162790698,76.5455902067069,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2009-08-05",2009,"ABR, Inc.","09SOO1130",47.31817,-122.135959,15,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,40030,45587,"Coarse",3,29,4,7,6,17,19,8,7,0.444,0.19,0.084,500,78,6.2,4.3,8.6,6.2,8.2,7.5,10,9.9,9,8,-1.45440979329308
"8",2977,27,3,7,7,18,9,5,318,10,47,500,2,9.4,63.6,5.23809523809524,2.85714285714286,8.57142857142857,7.5,7.64705882352941,8.75,7.14285714285714,4.84210526315789,4.2,9.53488372093023,66.2835716171413,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2010-09-20",2010,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,14,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,40441,45587,"Coarse",3,27,3,7,7,17,18,9,5,0.636,0.094,0.02,500,66.3,5.2,2.9,8.6,7.5,7.6,8.8,7.1,4.8,4.2,9.5,-0.0164283828586491
"9",3758,23,3,8,5,16,8,4,386,318,32,500,63.6,6.4,77.2,3.33333333333333,2.85714285714286,10,5,6.47058823529412,7.5,5.71428571428571,1.26315789473684,2.7,0,44.8385080347929,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2011-09-15",2011,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,13,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,40801,45587,"Coarse",3,23,3,8,5,16,16,8,4,0.772,0.064,0.636,500,44.8,3.3,2.9,10,5,6.5,7.5,5.7,1.3,2.7,0,0.0385080347928692
"10",4667,28,3,5,6,16,9,4,291,112,30,500,22.4,6,58.2,5.71428571428571,2.85714285714286,5.71428571428571,6.25,6.47058823529412,8.75,5.71428571428571,6.26315789473684,2.5,4.7906976744186,55.0244438044496,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2012-08-21",2012,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,12,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,41142,45587,"Coarse",8,28,3,5,6,14,16,9,4,0.582,0.06,0.224,500,55,5.7,2.9,5.7,6.2,6.5,8.8,5.7,6.3,2.5,4.8,0.024443804449561
"11",5674,31,4,6,8,22,7,6,163,6,156,500,1.2,31.2,32.6,7.14285714285714,4.28571428571429,7.14285714285714,8.75,10,6.25,8.57142857142857,10,10,9.72093023255814,81.8637873754153,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2013-08-14",2013,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,11,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,41500,45587,"Coarse",8,31,4,6,8,18,22,7,7,0.326,0.312,0.012,500,83.3,7.1,4.3,7.1,8.8,10,6.2,10,10,10,9.7,-1.43621262458471
"12",6243,16,9,1,1,9,0,4,431,0,22,500,0,4.4,86.2,0,10,0,0,2.35294117647059,0,5.71428571428571,0,1.7,10,29.7672268907563,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","1994-09-26",1994,"Aquatic Biology Associates, Inc.","09SOO1130",47.31817,-122.135959,24,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,34603,45587,"Coarse",3,16,9,1,1,11,9,0,4,0.862,0.044,0,500,29.8,0,10,0,0,2.4,0,5.7,0,1.7,10,-0.0327731092436991
"13",6260,23,7,6,3,15,6,5,413,0,43,500,0,8.6,82.6,3.33333333333333,8.57142857142857,7.14285714285714,2.5,5.88235294117647,5,7.14285714285714,0,3.8,10,53.3728291316527,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","1995-08-25",1995,"Aquatic Biology Associates, Inc.","09SOO1130",47.31817,-122.135959,23,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,34936,45587,"Coarse",3,23,7,6,3,16,15,6,5,0.826,0.086,0,500,53.4,3.3,8.6,7.1,2.5,5.9,5,7.1,0,3.8,10,-0.0271708683473406
"14",6326,11,4,1,1,5,1,2,416,4,13,500,0.8,2.6,83.2,0,4.28571428571429,0,0,0,0,2.85714285714286,0,0.8,9.81395348837209,17.7568106312292,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","1999-10-01",1999,"Aquatic Biology Associates, Inc.","09SOO1130",47.31817,-122.135959,22,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,36434,45587,"Coarse",3,11,4,1,1,6,5,1,2,0.832,0.026,0.008,500,17.8,0,4.3,0,0,0,0,2.9,0,0.8,9.8,-0.043189368770765
"15",7232,25,2,6,6,16,8,4,291,37,43,500,7.4,8.6,58.2,4.28571428571429,1.42857142857143,7.14285714285714,6.25,6.47058823529412,7.5,5.71428571428571,6.26315789473684,3.8,8.27906976744186,57.1342444689014,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2014-08-28",2014,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,10,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,41879,45587,"Coarse",8,25,2,6,6,14,16,8,4,0.582,0.086,0.074,500,57.1,4.3,1.4,7.1,6.2,6.5,7.5,5.7,6.3,3.8,8.3,0.0342444689013917
"16",8121,31,3,7,7,20,10,6,306,203,37,500,40.6,7.4,61.2,7.14285714285714,2.85714285714286,8.57142857142857,7.5,8.82352941176471,10,8.57142857142857,5.47368421052632,3.2,0.55813953488372,62.6982103000319,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2015-08-10",2015,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,9,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,42226,45587,"Coarse",8,31,3,7,7,17,20,10,6,0.612,0.074,0.406,500,62.7,7.1,2.9,8.6,7.5,8.8,10,8.6,5.5,3.2,0.6,-0.00178969996811418
"17",8824,26,4,7,7,17,4,5,347,20,59,500,4,11.8,69.4,4.76190476190476,4.28571428571429,8.57142857142857,7.5,7.05882352941176,2.5,7.14285714285714,3.31578947368421,5.4,9.06976744186047,59.6062852068612,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2016-08-30",2016,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,8,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,42612,45587,"Coarse",8,26,4,7,7,18,17,4,5,0.694,0.118,0.04,500,59.6,4.8,4.3,8.6,7.5,7.1,2.5,7.1,3.3,5.4,9.1,0.00628520686120737
"18",9077,31,4,7,8,22,10,8,288,149,56,500,29.8,11.2,57.6,7.14285714285714,4.28571428571429,8.57142857142857,8.75,10,10,10,6.42105263157895,5.1,3.06976744186047,73.3408200734394,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2017-08-02",2017,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,7,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,42949,45587,"Coarse",8,31,4,7,8,19,22,10,8,0.576,0.112,0.298,500,73.3,7.1,4.3,8.6,8.8,10,10,10,6.4,5.1,3.1,0.0408200734394057
"19",9909,29,4,9,5,19,7,5,209,60,33,500,12,6.6,41.8,6.19047619047619,4.28571428571429,10,5,8.23529411764706,6.25,7.14285714285714,10,2.8,7.2093023255814,67.1136440622761,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2018-08-23",2018,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,6,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,43335,45587,"Coarse",8,29,4,9,5,18,19,7,5,0.418,0.066,0.12,500,67.1,6.2,4.3,10,5,8.2,6.2,7.1,10,2.8,7.2,0.0136440622760716
"20",10409,33,6,7,7,23,9,8,214,79,36,500,15.8,7.2,42.8,8.09523809523809,7.14285714285714,8.57142857142857,7.5,10,8.75,10,10,3.1,6.32558139534884,79.4851052048726,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2019-08-15",2019,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,5,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,43692,45587,"Coarse",8,33,6,7,7,20,23,9,8,0.428,0.072,0.158,500,79.5,8.1,7.1,8.6,7.5,10,8.8,10,10,3.1,6.3,-0.0148947951273612
"21",11072,28,3,6,5,20,9,5,341,231,23,500,46.2,4.6,68.2,5.71428571428571,2.85714285714286,7.14285714285714,5,8.82352941176471,8.75,7.14285714285714,3.63157894736842,1.8,0,50.862251216276,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2020-09-02",2020,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,4,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,44076,45587,"Coarse",8,28,3,6,5,14,20,9,5,0.682,0.046,0.462,500,50.9,5.7,2.9,7.1,5,8.8,8.8,7.1,3.6,1.8,0,-0.0377487837240196
"22",11742,33,9,10,3,19,9,7,324,1,36,500,0.2,7.2,64.8,8.09523809523809,10,10,2.5,8.23529411764706,8.75,10,4.52631578947368,3.1,9.95348837209302,75.1603363744519,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2021-10-06",2021,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,3,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,44475,45587,"Coarse",8,33,9,10,3,22,19,9,8,0.648,0.072,0.002,500,75.2,8.1,10,10,2.5,8.2,8.8,10,4.5,3.1,10,-0.039663625548144
"23",12271,28,4,8,7,19,7,6,319,0,55,500,0,11,63.8,5.71428571428571,4.28571428571429,10,7.5,8.23529411764706,6.25,8.57142857142857,4.78947368421052,5,10,70.3461963732861,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","Ambient Monitoring","2022-09-22",2022,"Rhithron Associates, Inc.","09SOO1130",47.31817,-122.135959,2,267,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","Ambient Monitoring","09SOO1130",47.31817,-122.135959,44826,45587,"Coarse",8,28,4,8,7,19,19,7,6,0.638,0.11,0,500,70.3,5.7,4.3,10,7.5,8.2,6.2,8.6,4.8,5,10,0.0461963732861506
